collection_id,application_id,collection_agent,collection_date,outstanding_amount,collection_status,collection_mode,promise_to_pay_date,settlement_amount,settlement_status,follow_up_count,last_follow_up_date,remarks
COL10001,APP12365,Rajesh Sharma (Internal),2025-12-11,8564.69,Promise to Pay,Legal Notice,2025-12-27,,Pending,2,2025-12-02,Borrower promised to pay ₹8564.69 by 2025-12-27.
COL10002,APP11958,Rajesh Sharma (Internal),2025-12-27,17502.01,Promise to Pay,Tele-calling,2026-01-16,,Pending,4,2025-12-17,Borrower promised to pay ₹17502.01 by 2026-01-16.
COL10003,APP10607,Priya Deshmukh (Internal),2024-11-11,22450.23,Legal Action Initiated,Digital Reminder,,,Rejected,12,2024-11-05,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10004,APP12972,Apex Recovery Agency,2024-09-03,14519.54,Promise to Pay,Field Visit,2024-09-17,,Pending,7,2024-09-02,Borrower promised to pay ₹14519.54 by 2024-09-17.
COL10005,APP10446,Meenakshi Sundaram (Legal Agent),2025-06-23,92753.13,Contacted,Legal Notice,,,Pending,2,2025-06-15,Customer contacted via Legal Notice. Payment request sent.
COL10006,APP12537,Meenakshi Sundaram (Legal Agent),2025-01-20,51392.0,Legal Action Initiated,Legal Notice,,,Rejected,5,2025-01-19,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10007,APP12761,Anita Roy (Internal),2024-11-14,21713.12,Settled,Digital Reminder,2024-11-06,15056.79,Waived Off,6,2024-11-09,Loan settled at ₹15056.79 under Waived Off arrangement.
COL10008,APP10586,Meenakshi Sundaram (Legal Agent),2025-06-24,22277.55,Legal Action Initiated,Field Visit,,,Rejected,5,2025-06-14,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10009,APP11298,Priya Deshmukh (Internal),2025-04-20,26032.92,Contacted,Legal Notice,,,Pending,7,2025-04-16,Customer contacted via Legal Notice. Payment request sent.
COL10010,APP12374,Priya Deshmukh (Internal),2025-07-11,29832.19,Repossession Pending,WhatsApp Bot,,,Pending,11,2025-07-04,Asset recovery team assigned for asset repossession proceedings.
COL10011,APP11708,Apex Recovery Agency,2026-01-20,103909.02,Promise to Pay,Field Visit,2026-02-04,,Pending,7,2026-01-11,Borrower promised to pay ₹103909.02 by 2026-02-04.
COL10012,APP11693,Priya Deshmukh (Internal),2024-09-21,21990.69,Legal Action Initiated,Field Visit,,,Rejected,3,2024-09-11,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10013,APP11776,Vanguard Legal & Recovery Services,2025-09-23,31181.09,Contacted,WhatsApp Bot,,,Pending,9,2025-09-19,Customer contacted via WhatsApp Bot. Payment request sent.
COL10014,APP11950,Rajesh Sharma (Internal),2025-05-15,168702.04,Repossession Pending,Tele-calling,,,Pending,2,2025-05-11,Asset recovery team assigned for asset repossession proceedings.
